Timestamp,How old are you?,What is your current employment status?,"On average, what time do you usually go to bed each night?",Does going to bed early affect how productive you are the next day?,"On average, what time do you wake up each morning?",Does waking up early affect how productive you are that day?,How many hours on average do you sleep each night?,How many hours on average do you spend studying/doing work each day?,Does getting 8+ hours of sleep per night affect how productive you are?,Do you believe you get enough sleep?,Do you consider yourself a productive person? ,Do you believe sleep has an effect on your productivity
12/04/2021 15:44:07,18-21,Part-time tertiary student,11pm-12am,6,9am,9,7,4-6 hours,7,3,Moderately productive,Partly Agree
12/04/2021 15:46:18,18-21,Part time employee,10-11pm,7,9am,4,8,8 or more hours,5,2,Moderately productive,Partly Agree
12/04/2021 15:50:24,18-21,Part-time tertiary student,Later than 2am,6,9am,10,6,6-8 hours,3,3,Moderately productive,Neither agree nor disagree
12/04/2021 16:00:04,18-21,Part-time tertiary student,12-1am,1,10am,1,8,2-4 hours,1,3,Moderately productive,Partly Agree
12/04/2021 16:08:32,18-21,Full-time tertiary student,11pm-12am,9,10am,9,8,2-4 hours,9,5,Slightly productive,Strongly Agree
12/04/2021 16:17:55,18-21,Full-time tertiary student,1am-2am,8,11am,10,10 or more,4-6 hours,8,5,Slightly productive,Strongly Agree
12/04/2021 16:18:31,18-21,Unemployed,1am-2am,5,10am,5,8,0-2 hours,4,4,Moderately productive,Neither agree nor disagree
12/04/2021 16:35:08,22-25,Full time employee,12-1am,6,8am,6,7,6-8 hours,3,3,Moderately productive,Partly Agree
12/04/2021 16:38:24,18-21,Full time employee,12-1am,3,7am,2,6,8 or more hours,3,4,Moderately productive,Partly Agree
12/04/2021 16:46:27,18-21,Enrolled in disability employment service ,1am-2am,3,7am,2,3 or less,4-6 hours,1,1,Slightly productive,Partly Agree
12/04/2021 16:50:01,22-25,Full-time tertiary student,11pm-12am,8,8am,6,7,6-8 hours,8,3,Moderately productive,Strongly Agree
12/04/2021 16:51:43,18-21,Full-time tertiary student,1am-2am,8,11am,5,6,6-8 hours,8,1,Moderately productive,Strongly Agree
12/04/2021 17:04:04,18-21,Part time employee,10-11pm,2,5am or earlier,6,6,0-2 hours,10,3,Moderately productive,Partly Agree
12/04/2021 17:06:30,18-21,Full-time tertiary student,11pm-12am,4,8am,7,7,2-4 hours,7,3,Slightly productive,Partly Agree
12/04/2021 17:08:00,18-21,Full-time tertiary student,11pm-12am,4,8am,7,7,2-4 hours,7,3,Slightly productive,Partly Agree
12/04/2021 17:09:12,18-21,Part time employee,1am-2am,8,9am,7,7,2-4 hours,4,3,Slightly productive,Strongly Agree
12/04/2021 17:19:58,18-21,Full-time tertiary student,11pm-12am,7,8am,3,9,6-8 hours,8,2,Moderately productive,Partly Agree
12/04/2021 17:22:25,15-17,High school student,11pm-12am,7,8am,3,8,0-2 hours,8,4,Slightly productive,Strongly Agree
12/04/2021 17:24:58,18-21,Full-time tertiary student,12-1am,1,9am,5,8,6-8 hours,6,4,Not at all productive,Neither agree nor disagree
12/04/2021 17:30:27,18-21,High school student,12-1am,4,7am,8,6,0-2 hours,2,2,Slightly productive,Partly Agree
12/04/2021 17:36:17,18-21,Full-time tertiary student,1am-2am,7,7am,9,5,4-6 hours,9,1,Moderately productive,Partly Agree
12/04/2021 17:42:38,18-21,Full-time tertiary student,Later than 2am,5,8am,10,5,2-4 hours,7,2,Not at all productive,Neither agree nor disagree
12/04/2021 17:46:03,22-25,Full time employee,9-10pm,6,5am or earlier,2,7,8 or more hours,7,5,Extremely productive,Partly Agree
12/04/2021 17:51:00,18-21,Full-time tertiary student,11pm-12am,10,9am,6,8,2-4 hours,10,3,Not at all productive,Strongly Agree
12/04/2021 17:56:35,18-21,Full-time tertiary student,9-10pm,8,5am or earlier,7,8,4-6 hours,8,4,Moderately productive,Strongly Agree
12/04/2021 18:03:47,18-21,Full-time tertiary student,10-11pm,10,8am,7,9,4-6 hours,10,4,Slightly productive,Neither agree nor disagree
12/04/2021 18:04:48,18-21,Full time tertiary student & part time employee,11pm-12am,8,7am,8,7,4-6 hours,8,2,Moderately productive,Strongly Agree
12/04/2021 18:17:36,18-21,Full-time tertiary student,10-11pm,2,7am,2,8,2-4 hours,2,4,Moderately productive,Neither agree nor disagree
